Title,Author,Year,Topic,Goal,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise,,2016,Climate Change,Scientific Investigation,Domain Experts,,,Research Lab,Yes/Graphics,No,Audification,,,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html?itid=lk_inline_manual_7,,Cannot listen to the sonification,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html,https://www.washingtonpost.com/energy-environment/2018/10/22/listen-eerie-song-antarctica-melting/,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL079665,Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise
Fathom; Hudson River Environmental Data as Music,Ben Neill and Mimi Goese,2016,Environment,Art,,,,,,,Parameter Mapping,,,https://benneill.com/portfolio/fathom/,,,,,,Fathom
Inner Resonance,Falk Morawitz,2016,Chemistry,Art,,,,,,,Audification,n,,https://soundcloud.com/falk-morawitz/03-inner-resonance-falk-morawitz-48khz-24bit,,,,,,Inner Resonance
From Hipparchus to Hipparcos-a sonification of stellar catalogues,Jamie Ferguson and European Space Agency,2016,Astronomy,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/8NXCgJ,,,,,,From Hipparchus to Hipparcos-a sonification of stellar catalogues
Chains,Daito Manabe,2016,Finance,Art,,,,,,,Model Sonification,,,https://goo.gl/d2jwXR,,,,,,Chains
"Artefact#0, Digital Necrophony","Mathilde Lavenne and Daniel Cabanzo, IRCAM",2016,Geology,Art,,,,,,,Parameter Mapping,,n,https://vimeo.com/172204876,https://sonificationart.wordpress.com/2017/05/19/artefact0-digital-necrophony/,,,,,Artefact - Digital Necrophony
The Four Inner Planets,"Michael Quinton, David Benyon, Iain McGregor. Edinburgh Napier University.",2016,Astronomy,Data Analysis,,,,,,,Parameter Mapping,,,https://goo.gl/3J9x2J,,,,,,The Four Inner Planets
Chirp,LIGO Research Centre,2016,Astronomy,Scientific Investigation,,,,,,,Audification,,,https://www.nytimes.com/2016/02/12/science/scientists-chirp-excitedly-for-ligo-gravitational-waves-and-einstein.html,,,,,,Chirp
The Sound of the Economy: Data Sonification and the Cheeseburger Index,"Matt Kenney, Foreign Affairs",2016,Finance,Data Journalism,,,,,,,Parameter Mapping,n,,https://www.foreignaffairs.com/articles/2016-04-04/sound-economy-data-sonification-and-cheeseburger-index,,,,,,The Sound of the Economy: Data Sonification and the Cheeseburger Index
Echo,Binaura collective,2016,Digital Media,Art,,,,,,,Parameter Mapping,,,https://goo.gl/jNiKhH,,,,,,Echo
